1,70938.74,"Buckley, Baker and Gibson",2021-01-30,2021-11-03,1
2,9155.43,"Gray, Mcintyre and David",2021-08-06,2021-10-06,1
3,2308.78,Hebert Inc,2021-04-17,2021-08-02,1
4,37326.17,Le and Sons,2021-11-22,2021-12-28,2
5,33364.96,Butler-Dunn,2021-12-04,2021-12-28,2
6,29730.34,"Jenkins, Herring and Mitchell",2021-01-01,2021-04-10,3
7,30948.1,Moss LLC,2021-11-20,2021-12-07,3
8,8431.33,"Vega, Thomas and Bass",2021-08-11,2021-11-05,4
9,90889.58,Chambers-Thornton,2021-11-13,2021-12-27,5
10,61117.12,Arroyo-Mitchell,2021-07-23,2021-08-12,5
11,55116.13,"Navarro, Thompson and King",2021-06-29,2021-08-30,6
12,97604.41,Wood-Jensen,2021-08-19,2021-11-15,6
13,20781.77,"Brown, Park and Gray",2021-01-15,2021-03-13,7
14,98886.32,"Robles, Wilson and Hernandez",2021-08-24,2021-10-20,7
15,31595.81,Scott Ltd,2021-08-31,2021-12-05,7
16,53512.54,Gamble Group,2021-06-18,2021-12-11,8
17,29433.04,Duncan Group,2021-02-22,2021-11-25,8
18,18331.73,Ochoa Inc,2021-12-29,2021-12-30,9
19,70012.76,"Chen, Welch and Morris",2021-06-02,2021-06-16,9
20,29635.53,Stevens Inc,2021-11-10,2021-12-24,10
21,28728.07,"Estrada, Richards and Huffman",2021-08-22,2021-08-29,10
22,8931.12,Davis-Larson,2021-11-27,2021-12-06,10
23,43656.9,"Floyd, Flynn and Williams",2021-02-27,2021-03-02,11
24,94918.16,"Webster, Tate and Jenkins",2021-04-23,2021-06-28,11
25,14318.72,Smith and Sons,2021-02-18,2021-06-30,11
26,21196.6,"Lopez, Singleton and Choi",2021-11-18,2021-12-13,12
27,84264.04,Wright-Lewis,2021-10-23,2021-11-16,13
28,78120.34,Sharp PLC,2021-02-27,2021-10-27,13
29,38670.41,Peterson LLC,2021-10-19,2021-11-15,13
30,58326.86,Jones-Sparks,2021-12-29,2021-12-29,14
31,71628.59,Anderson-Robinson,2021-12-21,2021-12-26,14
32,81252.55,Carey Inc,2021-04-06,2021-11-11,14
33,18186.39,Johnson-Ryan,2021-08-05,2021-12-14,15
34,4131.82,"Lopez, Hall and Parker",2021-01-21,2021-12-13,16
35,10483.26,Blanchard-Kelly,2021-07-02,2021-08-12,16
36,44739.79,Quinn PLC,2021-07-07,2021-09-09,17
37,98178.04,Herrera-Kemp,2021-05-29,2021-10-11,17
38,91138.78,"Mcclain, Schmidt and Jackson",2021-09-20,2021-12-28,17
39,43114.21,Morgan LLC,2021-01-31,2021-02-04,18
40,60564.07,"Lara, Bailey and Rivera",2021-10-29,2021-12-21,19
41,18309.64,"Ballard, Martin and Santiago",2021-03-21,2021-04-30,20
42,61508.95,Coleman Inc,2021-11-12,2021-11-19,20
43,95521.59,Robinson-Fry,2021-03-27,2021-06-07,21
44,77394.37,Diaz Group,2021-03-25,2021-07-06,21
45,97926.62,"Romero, Jordan and Petty",2021-12-12,2021-12-23,22
46,17941.64,Hoffman-Anderson,2021-01-29,2021-05-22,23
47,39419.69,"Taylor, Benton and Dixon",2021-06-05,2021-11-15,24
48,70024.17,"Payne, Myers and Larsen",2021-11-15,2021-11-24,25
49,47951.18,"Miranda, Hoover and Ramos",2021-03-06,2021-11-20,25
50,38858.29,Morales-Martin,2021-09-02,2021-12-15,25
51,62055.88,Walter-Garcia,2021-07-29,2021-11-02,26
52,46571.37,Brewer-Schneider,2021-04-28,2021-09-01,26
53,50346.64,Alvarez-Ruiz,2021-05-29,2021-06-01,27
54,87679.5,"Morton, Davis and Joyce",2021-08-19,2021-10-01,27
55,97848.96,Perez LLC,2021-01-02,2021-01-26,28
56,6416.81,Heath-Miller,2021-02-07,2021-09-01,29
