0,Tuna sashimi,28.98,0
1,Bruschette with Tomato,79.28,0
2,Meatballs with sauce,21.21,0
3,Bruschette with Tomato,54.38,1
4,Chicken wings,78.06,1
5,Chicken milanese,47.14,1
6,Katsu Curry,27.83,2
7,Chilli con carne,66.8,2
8,Chicken milanese,45.54,3
9,Scotch eggs,56.7,3
10,Pizza,40.29,4
11,Philadelphia maki,61.52,4
12,Salmon nigiri,30.97,5
13,Tiramisù,48.61,5
14,Salmon nigiri,60.12,5
15,Califlower penne,32.28,6
16,Pasta with Tomato and Basil,22.34,7
17,California maki,71.39,7
18,Pasta Carbonara,47.95,7
19,Linguine with clams,55.41,8
20,Cheeseburger,49.26,8
21,Barbecue Ribs,61.26,9
22,Chicken wings,45.07,9
23,Chilli con carne,59.62,9
24,Scotch eggs,76.9,10
25,Risotto with seafood,27.85,11
26,Vegetable Soup,58.96,11
27,Ricotta stuffed Ravioli,29.24,11
28,Risotto with seafood,63.26,12
29,Pizza,64.77,12
30,Souvlaki,53.68,13
31,Katsu Curry,40.64,14
32,Philadelphia maki,38.12,15
33,Caprese Salad,72.0,16
34,Barbecue Ribs,48.07,16
35,Fettuccine Alfredo,72.88,17
36,Califlower penne,74.02,18
37,Scotch eggs,40.34,18
38,Tuna sashimi,74.79,19
39,Barbecue Ribs,33.05,19
40,Chicken Fajitas,49.26,19
41,Pasta and Beans,39.64,20
42,Risotto with seafood,75.59,20
43,California maki,24.25,21
44,Chilli con carne,74.14,21
45,Lasagne,40.19,21
46,Tiramisù,30.78,22
47,Pork belly buns,43.28,22
48,Chicken milanese,40.69,22
49,Ebiten maki,42.93,23
50,Philadelphia maki,61.96,24
51,California maki,44.41,24
52,Caesar Salad,22.07,25
53,Meatballs with sauce,51.03,25
54,Salmon nigiri,41.07,26
55,Scotch eggs,70.86,27
56,Caesar Salad,72.4,27
57,Pasta Carbonara,51.46,28
58,Bruschette with Tomato,71.5,29
59,Barbecue Ribs,23.44,29
60,Pasta with Tomato and Basil,37.42,30
61,French fries with sausages,56.79,31
62,Scotch eggs,24.2,31
63,Meatballs with sauce,52.26,32
64,Lasagne,36.24,32
65,Lasagne,26.52,33
66,Chicken wings,62.05,33
67,Cheeseburger,26.83,34
