176,7,0
94,7,0
40,1,1
143,1,1
172,2,1
94,7,2
15,3,2
143,4,3
65,6,3
87,8,3
29,1,3
44,1,4
175,5,4
134,6,5
109,10,5
115,7,5
131,1,5
157,6,6
41,2,6
154,2,7
93,3,7
22,5,7
103,8,7
89,9,8
175,2,8
156,1,8
145,7,8
53,6,9
130,1,9
61,9,9
190,3,9
63,8,10
166,3,11
141,5,12
117,10,13
60,3,13
40,5,13
86,1,13
196,6,13
95,2,14
191,3,14
133,4,14
9,7,15
79,7,15
104,9,15
195,7,16
95,1,17
179,2,18
115,5,18
2,3,18
20,1,18
131,2,19
72,4,19
104,9,19
21,2,19
73,3,20
146,6,20
50,4,20
46,7,20
173,9,21
41,6,21
168,1,21
77,7,21
75,4,21
175,2,22
160,1,23
49,5,24
98,5,24
190,1,24
3,8,25
77,6,25
115,5,25
29,10,25
177,1,25
58,8,26
39,6,27
92,8,27
104,3,27
79,5,27
87,2,27
68,6,28
4,1,28
166,5,28
15,4,28
100,2,28
162,6,29
101,9,29
130,9,29
190,8,29
95,10,29
38,6,30
157,3,30
27,8,31
36,10,31
196,10,31
158,6,31
42,2,31
11,9,32
65,3,33
102,9,33
129,7,34
69,5,34
37,5,34
192,3,35
103,8,35
119,3,35
192,9,35
75,8,36
142,6,36
108,6,36
83,2,36
114,2,36
52,5,37
61,3,37
139,7,38
89,4,38
151,2,39
151,9,40
111,9,40
20,3,40
96,4,40
21,1,41
24,2,41
8,2,42
34,1,42
66,3,42
77,1,43
33,2,43
23,8,43
136,3,44
41,3,44
108,4,44
55,6,45
99,3,45
193,1,45
79,4,46
17,2,46
9,10,47
186,4,48
143,8,48
125,7,48
35,1,48
15,2,49
82,7,50
109,10,51
162,8,51
42,8,52
124,10,52
50,9,52
52,9,52
96,1,52
92,6,53
157,7,53
1,6,53
149,3,53
178,8,54
197,3,54
147,1,54
44,4,55
178,6,55
184,7,55
27,10,56
86,3,56
193,9,56
135,5,57
125,10,58
9,1,58
153,9,58
49,9,58
116,5,59
101,3,59
47,4,59
129,7,59
173,10,59
25,8,60
119,10,60
93,2,61
175,9,61
175,7,61
1,10,61
177,10,61
15,10,62
70,5,62
156,8,62
155,4,62
179,5,62
32,5,63
123,8,63
17,10,64
134,8,64
9,5,64
135,6,64
146,5,65
65,7,66
19,3,66
100,9,67
3,5,68
100,5,69
128,6,70
5,2,70
101,6,71
166,3,71
175,10,72
150,5,72
5,8,72
30,4,72
82,5,73
55,6,73
12,9,73
81,1,73
136,10,74
102,1,74
91,6,74
9,1,75
118,9,75
91,5,76
175,7,76
21,6,77
61,9,77
109,6,77
140,3,77
32,5,78
58,4,78
109,3,78
23,5,78
48,1,78
181,6,79
0,10,79
107,7,80
165,4,80
127,7,80
3,2,80
110,1,81
64,2,82
121,9,82
53,2,82
147,3,82
187,8,82
19,9,83
69,9,84
189,4,84
54,9,85
81,4,85
118,9,85
125,4,85
23,3,86
110,1,86
189,4,86
25,7,86
157,3,87
157,3,87
112,10,87
88,4,87
71,4,88
157,3,88
45,2,88
31,10,88
29,8,89
35,5,89
163,4,90
64,2,90
104,2,91
147,1,91
150,2,91
8,3,91
112,3,91
58,10,92
81,1,92
135,6,92
158,10,92
12,1,92
27,9,93
197,2,93
25,7,93
81,9,93
172,8,94
110,7,95
12,3,95
84,10,95
103,9,95
124,4,95
188,3,96
171,6,96
23,4,96
142,5,96
37,6,97
139,4,97
